timestamp,lux,irradiance,nir_image_path,temperature,humidity,rgb_image_path,nir_brightness,nir_red_mean,rgb_red_mean,rgb_green_mean,rgb_blue_mean,nir_brightness_std,rgb_brightness,rgb_brightness_std
2025-04-07_14-36-00,43590.390625,363.253255208333,photos_nir\2025-04-07_14-36-00_nir.jpg,26.18028534370947,44.80300602731365,photos_rgb\2025-04-07_14-36-00_rgb.jpg,88.7191594324121,87.7320688648242,69.41110659646527,99.97287692696979,168.4417836960189,56.16818000557778,98.64015818021385,32.52210200359318
2025-04-07_14-37-00,43257.96875,360.483072916666,photos_nir\2025-04-07_14-37-00_nir.jpg,26.43129625391012,50.17608911268788,photos_rgb\2025-04-07_14-37-00_rgb.jpg,88.78582230460088,87.79880845145708,69.29027391194332,99.89904486855082,168.59563828441296,56.17635706140517,98.58006964990138,32.78003643646396
2025-04-07_14-38-00,43062.109375,358.850911458333,photos_nir\2025-04-07_14-38-00_nir.jpg,27.02677958342871,52.65377279316396,photos_rgb\2025-04-07_14-38-00_rgb.jpg,88.893118219433,87.9061521272173,69.12581125752621,99.65472602317554,168.33907880138585,56.0395465730919,98.3559784724385,32.75255780639684
2025-04-07_14-39-00,42988.4375,358.236979166666,photos_nir\2025-04-07_14-39-00_nir.jpg,27.59288929579614,43.17219806210422,photos_rgb\2025-04-07_14-39-00_rgb.jpg,88.90447232835761,87.91758641510928,69.38852852823626,99.74751278158413,168.1056499305772,56.14282997103179,98.46644988256514,32.711451622959835
2025-04-07_14-40-00,42515.859375,354.298828125,photos_nir\2025-04-07_14-40-00_nir.jpg,27.75043869687953,46.20492866407263,photos_rgb\2025-04-07_14-40-00_rgb.jpg,88.99441197141273,88.00775088097878,69.48392269736843,99.7961544138638,168.3801142556836,56.14673677954957,98.55391492785218,32.65992855328703
2025-04-07_14-41-00,41707.265625,347.560546875,photos_nir\2025-04-07_14-41-00_nir.jpg,27.33119707026779,42.82887006942855,photos_rgb\2025-04-07_14-41-00_rgb.jpg,88.80494993763858,87.81822797058125,67.75693944319008,99.78295410308316,168.06937529196512,56.125001497116905,97.98506582191425,32.56907860784636
2025-04-07_14-42-00,41710.859375,347.590494791666,photos_nir\2025-04-07_14-42-00_nir.jpg,26.92530708781567,52.84832532234684,photos_rgb\2025-04-07_14-42-00_rgb.jpg,88.8165625247466,87.82991467374089,67.77719533439739,99.81446549296689,168.32881736284128,56.23188971956475,98.03839552190387,32.64361639118051
2025-04-07_14-43-00,42113.359375,350.944661458333,photos_nir\2025-04-07_14-43-00_nir.jpg,27.28847180895704,49.37308308537423,photos_rgb\2025-04-07_14-43-00_rgb.jpg,89.10212932075547,88.11541143688629,68.8738891538202,99.55871086045364,168.4936919313817,56.26254686572788,98.23587164564518,32.61508926780404
2025-04-07_14-44-00,42154.6875,351.2890625,photos_nir\2025-04-07_14-44-00_nir.jpg,27.33386739909972,43.6013580529488,photos_rgb\2025-04-07_14-44-00_rgb.jpg,89.1955623168752,88.20887289159012,68.8343929234143,99.91805236556628,168.47053277146267,56.23349656387841,98.43576426736219,32.63186884033047
2025-04-07_14-45-00,41748.59375,347.904947916666,photos_nir\2025-04-07_14-45-00_nir.jpg,27.12291142137789,46.89539940489814,photos_rgb\2025-04-07_14-45-00_rgb.jpg,89.20771673067786,88.22119570597086,67.98860095180629,98.81956969207413,167.20308696343298,56.17266814476692,97.39429216300736,32.35211997146187
2025-04-07_14-46-00,41676.71875,347.305989583333,photos_nir\2025-04-07_14-46-00_nir.jpg,27.09353780422676,46.61692225528344,photos_rgb\2025-04-07_14-46-00_rgb.jpg,89.09933357420019,88.11287354984954,68.28997959488217,99.58781053734559,168.479118897929,56.08884665879224,98.08509388300634,32.086343964767394
2025-04-07_14-47-00,41236.484375,343.637369791666,photos_nir\2025-04-07_14-47-00_nir.jpg,26.92530708781567,45.67467765316243,photos_rgb\2025-04-07_14-47-00_rgb.jpg,89.51038317627494,88.52408586078556,66.64331983805668,99.12480211252985,168.4152668561196,56.2284352236132,97.31786039849995,32.01086120102922
2025-04-07_14-48-00,40382.96875,336.524739583333,photos_nir\2025-04-07_14-48-00_nir.jpg,27.3445487144274,47.46952010376135,photos_rgb\2025-04-07_14-48-00_rgb.jpg,89.40754523677542,88.42127464760848,67.44276778067581,99.44301432899927,168.8092638910516,56.325036094969114,97.78864231353161,32.15560295563822
2025-04-07_14-49-00,40099.0625,334.158854166666,photos_nir\2025-04-07_14-49-00_nir.jpg,27.84122987716488,41.17708094911116,photos_rgb\2025-04-07_14-49-00_rgb.jpg,89.59820042762117,88.61202375178175,67.41378853939582,99.62132042847503,168.54003101318384,56.360868888350524,97.84976975306239,32.18646412163218
